spliced	intron
124813698	124813698-I
100206518	100206518-I
100213424	100213424-I
124810600	124810600-I
100196999	100196999-I
100209047	100209047-I
100212538	100212538-I
124814926	124814926-I
100206712	100206712-I
124810635	124810635-I
100215871	100215871-I
124805808	124805808-I
100200064	100200064-I
124810701	124810701-I
124810745	124810745-I
124810736	124810736-I
124810751	124810751-I
124813707	124813707-I
124813709	124813709-I
124813712	124813712-I
124814950	124814950-I
124810785	124810785-I
124810816	124810816-I
124810841	124810841-I
124813722	124813722-I
105849538	105849538-I
105850775	105850775-I
124810857	124810857-I
124810879	124810879-I
124810887	124810887-I
124810892	124810892-I
124813729	124813729-I
124810925	124810925-I
105849348	105849348-I
105848640	105848640-I
101235821	101235821-I
124811002	124811002-I
124811017	124811017-I
124811045	124811045-I
100208377	100208377-I
100212904	100212904-I
100205881	100205881-I
100211593	100211593-I
124814983	124814983-I
124813743	124813743-I
105850912	105850912-I
100207809	100207809-I
101236559	101236559-I
124814998	124814998-I
105846732	105846732-I
100214165	100214165-I
101235133	101235133-I
124811107	124811107-I
100198257	100198257-I
100201968	100201968-I
124811128	124811128-I
105845678	105845678-I
101236683	101236683-I
124811141	124811141-I
105845971	105845971-I
101237863	101237863-I
124811150	124811150-I
124811165	124811165-I
124811175	124811175-I
124811189	124811189-I
101238778	101238778-I
101240263	101240263-I
100199080	100199080-I
100210826	100210826-I
100197889	100197889-I
105847223	105847223-I
124811258	124811258-I
105846084	105846084-I
105848064	105848064-I
124811316	124811316-I
100213533	100213533-I
101237156	101237156-I
100208476	100208476-I
124813772	124813772-I
100206471	100206471-I
124815048	124815048-I
124811337	124811337-I
101236967	101236967-I
100203131	100203131-I
101241646	101241646-I
124811371	124811371-I
105845321	105845321-I
124811392	124811392-I
105846709	105846709-I
100204254	100204254-I
100207837	100207837-I
100205084	100205084-I
100192251	100192251-I
100192252	100192252-I
124811438	124811438-I
100215754	100215754-I
124811443	124811443-I
124811447	124811447-I
124811452	124811452-I
105847980	105847980-I
105847758	105847758-I
124811466	124811466-I
105849664	105849664-I
124813776	124813776-I
124815111	124815111-I
124815118	124815118-I
124815125	124815125-I
101241631	101241631-I
101236792	101236792-I
105849912	105849912-I
124813782	124813782-I
124811480	124811480-I
100199814	100199814-I
105843548	105843548-I
101236285	101236285-I
124811516	124811516-I
101238318	101238318-I
101238234	101238234-I
100215816	100215816-I
124811540	124811540-I
105844969	105844969-I
124811549	124811549-I
105847760	105847760-I
100205238	100205238-I
100209914	100209914-I
100208285	100208285-I
105846009	105846009-I
105846008	105846008-I
100209516	100209516-I
100200745	100200745-I
124811594	124811594-I
124811589	124811589-I
101241145	101241145-I
124815583	124815583-I
124815161	124815161-I
105843342	105843342-I
105846335	105846335-I
100214988	100214988-I
101236399	101236399-I
124815589	124815589-I
124811672	124811672-I
105844508	105844508-I
124815594	124815594-I
124811711	124811711-I
101240758	101240758-I
105845521	105845521-I
124811732	124811732-I
124811757	124811757-I
101238498	101238498-I
105848711	105848711-I
105848138	105848138-I
124811806	124811806-I
124811816	124811816-I
124815186	124815186-I
105846075	105846075-I
124811847	124811847-I
105844977	105844977-I
124811852	124811852-I
124811863	124811863-I
124813793	124813793-I
100206775	100206775-I
124813802	124813802-I
105850211	105850211-I
100201407	100201407-I
101234922	101234922-I
100201069	100201069-I
124811981	124811981-I
124813809	124813809-I
124812030	124812030-I
105847066	105847066-I
105847068	105847068-I
105847067	105847067-I
124813813	124813813-I
124813818	124813818-I
105848479	105848479-I
105845457	105845457-I
124815195	124815195-I
124815196	124815196-I
124815204	124815204-I
105847159	105847159-I
100203605	100203605-I
124805818	124805818-I
124812108	124812108-I
124812117	124812117-I
105843300	105843300-I
124812133	124812133-I
124812158	124812158-I
124813836	124813836-I
124815601	124815601-I
100204812	100204812-I
105844247	105844247-I
124812185	124812185-I
124812189	124812189-I
105848673	105848673-I
124812195	124812195-I
100208858	100208858-I
124815208	124815208-I
100200516	100200516-I
124813839	124813839-I
124812215	124812215-I
124812217	124812217-I
124812223	124812223-I
124812220	124812220-I
100208228	100208228-I
124815219	124815219-I
124813847	124813847-I
124815227	124815227-I
105848173	105848173-I
124815232	124815232-I
124813858	124813858-I
105845895	105845895-I
124812246	124812246-I
124812254	124812254-I
105849309	105849309-I
124813864	124813864-I
105844629	105844629-I
124815248	124815248-I
124813869	124813869-I
124815253	124815253-I
100202915	100202915-I
124813876	124813876-I
124812264	124812264-I
100197857	100197857-I
124813879	124813879-I
100208555	100208555-I
105847540	105847540-I
124813885	124813885-I
124815260	124815260-I
124812282	124812282-I
124812286	124812286-I
124815264	124815264-I
105848057	105848057-I
124813898	124813898-I
124815269	124815269-I
100209968	100209968-I
124813902	124813902-I
101240513	101240513-I
124812315	124812315-I
100197343	100197343-I
105850064	105850064-I
124815277	124815277-I
124812328	124812328-I
101236806	101236806-I
124815295	124815295-I
101241855	101241855-I
100197996	100197996-I
100201499	100201499-I
100197932	100197932-I
124812365	124812365-I
105843433	105843433-I
124812394	124812394-I
124812418	124812418-I
105846902	105846902-I
124815306	124815306-I
124815308	124815308-I
124815313	124815313-I
101238460	101238460-I
124813949	124813949-I
100211167	100211167-I
100215618	100215618-I
101239643	101239643-I
124813955	124813955-I
105845034	105845034-I
100212842	100212842-I
101241083	101241083-I
100202585	100202585-I
100208537	100208537-I
124812443	124812443-I
100201032	100201032-I
101241653	101241653-I
124815328	124815328-I
124813969	124813969-I
124813980	124813980-I
105845074	105845074-I
100200089	100200089-I
101235962	101235962-I
124813990	124813990-I
105843700	105843700-I
100197702	100197702-I
124812485	124812485-I
105848468	105848468-I
101239302	101239302-I
100210553	100210553-I
101234667	101234667-I
100204448	100204448-I
100207293	100207293-I
100200107	100200107-I
100197788	100197788-I
100204991	100204991-I
100204363	100204363-I
124815365	124815365-I
124814012	124814012-I
124812554	124812554-I
105848502	105848502-I
101235171	101235171-I
124812570	124812570-I
124812578	124812578-I
105848478	105848478-I
124812586	124812586-I
124812588	124812588-I
124814018	124814018-I
124815390	124815390-I
124815392	124815392-I
124812595	124812595-I
124815415	124815415-I
124814032	124814032-I
124812621	124812621-I
124812633	124812633-I
124815438	124815438-I
105848657	105848657-I
124814043	124814043-I
124812648	124812648-I
124815443	124815443-I
124815446	124815446-I
124812658	124812658-I
124814053	124814053-I
124814056	124814056-I
100204452	100204452-I
105849927	105849927-I
124812705	124812705-I
100201023	100201023-I
100204663	100204663-I
124815480	124815480-I
124815484	124815484-I
124814058	124814058-I
124815489	124815489-I
124815503	124815503-I
101237229	101237229-I
100215776	100215776-I
124812726	124812726-I
124812730	124812730-I
124812733	124812733-I
124812597	124812597-I
124812735	124812735-I
105847120	105847120-I
100198457	100198457-I
105848317	105848317-I
124817833	124817833-I
124818317	124818317-I
100204829	100204829-I
101235292	101235292-I
105849810	105849810-I
100210685	100210685-I
100213980	100213980-I
100197551	100197551-I
100198778	100198778-I
105849761	105849761-I
101238200	101238200-I
100209310	100209310-I
100201905	100201905-I
124807898	124807898-I
100206311	100206311-I
101240548	101240548-I
101237040	101237040-I
100197395	100197395-I
100208326	100208326-I
124813088	124813088-I
105848001	105848001-I
124808447	124808447-I
124808463	124808463-I
124808557	124808557-I
124808599	124808599-I
124813109	124813109-I
100210744	100210744-I
124812760	124812760-I
124813120	124813120-I
105848792	105848792-I
124812763	124812763-I
124812772	124812772-I
101234352	101234352-I
105850527	105850527-I
101239344	101239344-I
100213702	100213702-I
100202760	100202760-I
100206371	100206371-I
100200607	100200607-I
100215901	100215901-I
100211101	100211101-I
124813123	124813123-I
124813128	124813128-I
124813134	124813134-I
124809773	124809773-I
124815610	124815610-I
105850355	105850355-I
100215993	100215993-I
124809919	124809919-I
124812795	124812795-I
124809963	124809963-I
124809948	124809948-I
124813146	124813146-I
105848794	105848794-I
101235589	101235589-I
124813166	124813166-I
124812840	124812840-I
100200751	100200751-I
105846500	105846500-I
101239706	101239706-I
124813182	124813182-I
100203472	100203472-I
101235183	101235183-I
105843133	105843133-I
124810520	124810520-I
124813185	124813185-I
100199467	100199467-I
105846183	105846183-I
124810777	124810777-I
101236681	101236681-I
105848800	105848800-I
100207994	100207994-I
100213897	100213897-I
124811406	124811406-I
100206888	100206888-I
124811462	124811462-I
105845455	105845455-I
124813189	124813189-I
100198283	100198283-I
124813193	124813193-I
124811898	124811898-I
101235321	101235321-I
124814088	124814088-I
124813199	124813199-I
124812101	124812101-I
124813212	124813212-I
101236146	101236146-I
124812199	124812199-I
124812312	124812312-I
100208664	100208664-I
100211716	100211716-I
100208201	100208201-I
124813224	124813224-I
100210915	100210915-I
100205851	100205851-I
100200047	100200047-I
100200125	100200125-I
100215544	100215544-I
124813145	124813145-I
124813236	124813236-I
105843552	105843552-I
124813203	124813203-I
105843554	105843554-I
124813293	124813293-I
105850232	105850232-I
101238110	101238110-I
100204792	100204792-I
124815617	124815617-I
124813244	124813244-I
124813701	124813701-I
124813664	124813664-I
100213869	100213869-I
105849896	105849896-I
100202657	100202657-I
124813247	124813247-I
124815546	124815546-I
100213059	100213059-I
124814264	124814264-I
124814301	124814301-I
100199980	100199980-I
105844609	105844609-I
105850989	105850989-I
100199298	100199298-I
124814709	124814709-I
124813251	124813251-I
124815621	124815621-I
105846784	105846784-I
124813259	124813259-I
124815041	124815041-I
124814255	124814255-I
124815540	124815540-I
100206381	100206381-I
100208119	100208119-I
100210881	100210881-I
100203338	100203338-I
100206920	100206920-I
124815716	124815716-I
124814257	124814257-I
124815806	124815806-I
100211719	100211719-I
124816131	124816131-I
105844145	105844145-I
124813261	124813261-I
124816213	124816213-I
124814269	124814269-I
124814273	124814273-I
124813265	124813265-I
100198555	100198555-I
124816467	124816467-I
124815625	124815625-I
100198143	100198143-I
100213589	100213589-I
124816681	124816681-I
124816726	124816726-I
124814277	124814277-I
100207774	100207774-I
100197084	100197084-I
100210065	100210065-I
100210142	100210142-I
100201983	100201983-I
124817615	124817615-I
101241058	101241058-I
124817757	124817757-I
100192262	100192262-I
101235532	101235532-I
105846043	105846043-I
101237126	101237126-I
124818302	124818302-I
124818381	124818381-I
100208143	100208143-I
124814296	124814296-I
124814303	124814303-I
100208299	100208299-I
124818792	124818792-I
100203086	100203086-I
124819115	124819115-I
100205679	100205679-I
124805887	124805887-I
124805988	124805988-I
124813274	124813274-I
124806057	124806057-I
105847856	105847856-I
124806158	124806158-I
124813277	124813277-I
101238906	101238906-I
105849036	105849036-I
124806495	124806495-I
105849757	105849757-I
105849772	105849772-I
105849771	105849771-I
105846837	105846837-I
100209245	100209245-I
124806688	124806688-I
100200937	100200937-I
100211497	100211497-I
124814329	124814329-I
100198460	100198460-I
124814332	124814332-I
101241798	101241798-I
124813295	124813295-I
101238382	101238382-I
100207506	100207506-I
124807169	124807169-I
124807437	124807437-I
124807564	124807564-I
124807561	124807561-I
124814345	124814345-I
124813298	124813298-I
124814349	124814349-I
105847154	105847154-I
124814354	124814354-I
105849891	105849891-I
124813303	124813303-I
124813334	124813334-I
